trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4995, 'e': 0.99501247919268232}",20,0,-26.5209253033993,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.499, 'e': 0.99004983374916811}",20,0,-48.53886698561518,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.4985, 'e': 0.98511193960306265}",25,0,-126.71578609267502,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.498, 'e': 0.98019867330675525}",35,12,-131.4928550656784,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 3}",1
5,False,"{'a': 0.4975, 'e': 0.97530991202833262}",20,0,-87.22477005391303,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.497, 'e': 0.97044553354850815}",20,0,-20.74982448940778,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.4965, 'e': 0.96560541625756646}",25,0,-162.52808239736274,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.496, 'e': 0.96078943915232318}",20,0,-83.44261698003221,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.4955, 'e': 0.95599748183309996}",25,0,-223.81917427951905,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.495, 'e': 0.95122942450071402}",25,0,-225.18008966490697,"{0: 10, 1: 7, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.4945, 'e': 0.94648514795348382}",25,0,-43.986289571713996,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.494, 'e': 0.94176453358424872}",30,0,-136.137798045237,"{0: 17, 1: 7, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.4935, 'e': 0.93706746337740343}",20,0,-86.68561105421412,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.493, 'e': 0.93239381990594827}",20,0,-55.6761552385807,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.4925, 'e': 0.92774348632855286}",30,0,-116.89079545033593,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.492, 'e': 0.92311634638663576}",25,0,-189.18459020633088,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.4915, 'e': 0.91851228440145738}",20,0,-84.91643128436246,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.491, 'e': 0.91393118527122819}",20,0,-136.4065047850415,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
19,False,"{'a': 0.4905, 'e': 0.90937293446823142}",25,0,-127.72532454357926,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 0.49, 'e': 0.90483741803595952}",20,0,-114.64422923810703,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.4895, 'e': 0.90032452258626561}",20,0,-64.97261114056974,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.489, 'e': 0.89583413529652822}",30,0,-209.27817899843768,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
23,False,"{'a': 0.4885, 'e': 0.89136614390683133}",30,0,-149.31104305715186,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
